application,score,filename,line,rule,searchedfor,found,advice,category,fqn
App3,5,FilesystemResourceHandler.java,49,java-jsf,ResourceHandlerWrapper,public class FilesystemResourceHandler extends ResourceHandlerWrapper {,The conversion of a JSF application to a Spring Boot application requires several steps. Refer to the recipe URIs,jsf,/Users/swoods/pvtl/demo/App3/jsf/filesystemrlc/src/main/java/filesystemrlc/FilesystemResourceHandler.java
App3,5,StatelessSession.java,48,java-transaction-annotations,Remote,@Remote,Distributed transcations are problematic and should be remediated or use TKG.effort,annotations,/Users/swoods/pvtl/demo/App3/ejb/automatic-timer/automatic-timer-server/src/main/java/enterprise/automatic_timer_ejb/StatelessSession.java
App3,5,ShowTimingFacadeREST.java,61,java-stateless-annotations,Stateless,@Stateless,Replace with the Spring annotation @Component or move to TKG,annotations,/Users/swoods/pvtl/demo/App3/platform/movieplex7/src/main/java/org/glassfish/movieplex7/rest/ShowTimingFacadeREST.java
App3,5,SimpleEjb.java,62,java-security-annotations,PermitAll,@PermitAll,Replace with spring security org.springframework.security.access.annotation or move to TKG,annotations,/Users/swoods/pvtl/demo/App3/ejb/ejb-embedded/ejb-embedded-server/src/main/java/ejb/embedded/SimpleEjb.java
App3,5,FilesystemResourceHandler.java,53,java-jsf,ResourceHandler,private final ResourceHandler resourceHandler;,The conversion of a JSF application to a Spring Boot application requires several steps. Refer to the recipe URIs,jsf,/Users/swoods/pvtl/demo/App3/jsf/filesystemrlc/src/main/java/filesystemrlc/FilesystemResourceHandler.java
App3,5,HelloBean.java,48,java-stateless-annotations,Stateless,@Stateless,Replace with the Spring annotation @Component or move to TKG,annotations,/Users/swoods/pvtl/demo/App3/ejb/ejb32-war/src/main/java/ejb/ejb32/war/HelloBean.java
App3,5,web.xml,2,xml-servlet-3-1,web-app_3_1.xsd,"<web-app version=""3.1"" xmlns=""http://xmlns.jcp.org/xml/ns/javaee"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://xmlns.jcp.org/xml/ns/javaee http://xmlns.jcp.org/xml/ns/javaee/web-app_3_1.xsd"">",Refer to PCF documetation,servlet,/Users/swoods/pvtl/demo/App3/jsf/indexFlow/src/main/webapp/WEB-INF/web.xml
App3,5,MyTextRenderer.java,13,java-jsf,UIComponent,"public void encodeBegin(FacesContext context, UIComponent component) throws IOException {",The conversion of a JSF application to a Spring Boot application requires several steps. Refer to the recipe URIs,jsf,/Users/swoods/pvtl/demo/App3/jsf/overrideRenderer/src/main/java/org/glassfish/jsf/overrideRenderer/MyTextRenderer.java
App3,5,SalesBean.java,56,java-stateless-annotations,Stateless,@Stateless,Replace with the Spring annotation @Component or move to TKG,annotations,/Users/swoods/pvtl/demo/App3/platform/movieplex7/src/main/java/org/glassfish/movieplex7/batch/SalesBean.java
App3,5,TimeslotFacadeREST.java,61,java-stateless-annotations,Stateless,@Stateless,Replace with the Spring annotation @Component or move to TKG,annotations,/Users/swoods/pvtl/demo/App3/platform/movieplex7/src/main/java/org/glassfish/movieplex7/rest/TimeslotFacadeREST.java
